iter	Passed	Remaining
0	228	22652
1	242	11903
2	261	8459
3	280	6737
4	295	5607
5	307	4817
6	322	4288
7	335	3855
8	347	3517
9	360	3240
10	366	2965
11	378	2777
12	385	2578
13	397	2441
14	411	2332
15	426	2239
16	442	2159
17	453	2064
18	463	1977
19	477	1909
20	491	1847
21	504	1787
22	515	1724
23	526	1668
24	540	1620
25	552	1573
26	566	1531
27	577	1483
28	589	1442
29	600	1402
30	607	1352
31	618	1314
32	629	1277
33	638	1239
34	649	1205
35	658	1170
36	669	1140
37	680	1110
38	690	1079
39	701	1051
40	711	1024
41	723	998
42	732	971
43	743	946
44	753	920
45	763	896
46	770	868
47	780	845
48	791	824
49	803	803
50	814	782
51	830	766
52	843	748
53	856	729
54	869	711
55	881	692
56	897	677
57	916	663
58	935	650
59	948	632
60	992	634
61	1024	628
62	1046	614
63	1070	602
64	1088	586
65	1105	569
66	1127	555
67	1143	538
68	1161	521
69	1186	508
70	1210	494
71	1234	480
72	1254	464
73	1269	445
74	1280	426
75	1290	407
76	1303	389
77	1315	371
78	1326	352
79	1338	334
80	1350	316
81	1361	298
82	1371	280
83	1384	263
84	1396	246
85	1407	229
86	1420	212
87	1432	195
88	1448	179
89	1460	162
90	1470	145
91	1482	128
92	1493	112
93	1504	96
94	1517	79
95	1530	63
96	1542	47
97	1555	31
98	1569	15
99	1586	0
